age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,poutcome
56.0,housemaid,married,basic.4y,no,no,telephone,may,mon,4.35,1.0,nonexistent
57.0,services,married,high.school,no,no,telephone,may,mon,2.4833333333333334,1.0,nonexistent
37.0,services,married,high.school,yes,no,telephone,may,mon,3.7666666666666666,1.0,nonexistent
40.0,admin.,married,basic.6y,no,no,telephone,may,mon,2.5166666666666666,1.0,nonexistent
56.0,services,married,high.school,no,yes,telephone,may,mon,5.116666666666666,1.0,nonexistent
59.0,admin.,married,professional.course,no,no,telephone,may,mon,2.316666666666667,1.0,nonexistent
41.0,blue-collar,married,high.school,no,no,telephone,may,mon,3.6166666666666667,1.0,nonexistent
24.0,technician,single,professional.course,yes,no,telephone,may,mon,6.333333333333333,1.0,nonexistent
25.0,services,single,high.school,yes,no,telephone,may,mon,0.8333333333333334,1.0,nonexistent
41.0,blue-collar,married,high.school,no,no,telephone,may,mon,0.9166666666666666,1.0,nonexistent
25.0,services,single,high.school,yes,no,telephone,may,mon,3.7,1.0,nonexistent
59.0,technician,married,basic.4y,yes,no,telephone,may,mon,6.433333333333334,1.0,nonexistent
49.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,1.2166666666666666,1.0,nonexistent
54.0,management,married,basic.4y,yes,no,telephone,may,mon,3.8333333333333335,1.0,nonexistent
54.0,blue-collar,divorced,basic.4y,no,no,telephone,may,mon,3.466666666666667,1.0,nonexistent
34.0,services,married,high.school,no,no,telephone,may,mon,6.083333333333333,1.0,nonexistent
41.0,admin.,married,university.degree,yes,no,telephone,may,mon,9.616666666666667,1.0,nonexistent
56.0,technician,married,basic.4y,yes,no,telephone,may,mon,2.283333333333333,1.0,nonexistent
32.0,entrepreneur,married,high.school,yes,no,telephone,may,mon,5.233333333333333,1.0,nonexistent
38.0,admin.,single,professional.course,no,no,telephone,may,mon,2.6666666666666665,1.0,nonexistent
57.0,admin.,married,university.degree,no,yes,telephone,may,mon,3.533333333333333,1.0,nonexistent
44.0,admin.,married,university.degree,yes,no,telephone,may,mon,3.1333333333333333,1.0,nonexistent
42.0,technician,single,professional.course,no,no,telephone,may,mon,0.36666666666666664,1.0,nonexistent
57.0,admin.,married,university.degree,yes,yes,telephone,may,mon,10.266666666666667,1.0,nonexistent
40.0,blue-collar,married,basic.9y,no,yes,telephone,may,mon,2.966666666666667,1.0,nonexistent
35.0,admin.,married,university.degree,yes,no,telephone,may,mon,5.916666666666667,1.0,nonexistent
45.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,3.75,2.0,nonexistent
54.0,admin.,married,high.school,no,no,telephone,may,mon,2.6666666666666665,1.0,nonexistent
39.0,housemaid,married,basic.4y,no,yes,telephone,may,mon,4.433333333333334,1.0,nonexistent
60.0,admin.,married,high.school,no,no,telephone,may,mon,4.216666666666667,1.0,nonexistent
53.0,admin.,single,professional.course,no,no,telephone,may,mon,2.9833333333333334,1.0,nonexistent
55.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,4.483333333333333,2.0,nonexistent
55.0,technician,married,professional.course,yes,no,telephone,may,mon,2.25,1.0,nonexistent
50.0,management,married,university.degree,no,yes,telephone,may,mon,2.683333333333333,1.0,nonexistent
45.0,services,married,high.school,yes,no,telephone,may,mon,13.116666666666667,1.0,nonexistent
55.0,unemployed,married,professional.course,yes,yes,telephone,may,mon,2.4166666666666665,1.0,nonexistent
25.0,technician,single,university.degree,yes,no,telephone,may,mon,2.9,1.0,nonexistent
47.0,entrepreneur,married,university.degree,no,no,telephone,may,mon,7.483333333333333,1.0,nonexistent
51.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,13.533333333333333,1.0,nonexistent
42.0,blue-collar,married,basic.6y,yes,no,telephone,may,mon,2.7333333333333334,1.0,nonexistent
42.0,blue-collar,married,basic.6y,no,no,telephone,may,mon,6.1,1.0,nonexistent
48.0,admin.,married,high.school,no,no,telephone,may,mon,5.95,1.0,nonexistent
37.0,admin.,married,university.degree,no,no,telephone,may,mon,3.8666666666666667,1.0,nonexistent
44.0,blue-collar,single,basic.9y,yes,no,telephone,may,mon,1.5166666666666666,1.0,nonexistent
33.0,admin.,married,professional.course,yes,no,telephone,may,mon,4.55,1.0,nonexistent
56.0,admin.,married,basic.9y,yes,no,telephone,may,mon,2.6333333333333333,2.0,nonexistent
44.0,blue-collar,single,basic.4y,yes,yes,telephone,may,mon,2.95,1.0,nonexistent
41.0,management,married,basic.6y,no,no,telephone,may,mon,3.3333333333333335,1.0,nonexistent
44.0,management,divorced,university.degree,yes,no,telephone,may,mon,2.8666666666666667,1.0,nonexistent
47.0,admin.,married,university.degree,yes,no,telephone,may,mon,2.933333333333333,1.0,nonexistent
37.0,admin.,married,university.degree,yes,no,telephone,may,mon,3.566666666666667,1.0,nonexistent
55.0,management,married,basic.9y,yes,no,telephone,may,mon,4.533333333333333,1.0,nonexistent
42.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,3.466666666666667,1.0,nonexistent
38.0,admin.,married,high.school,no,no,telephone,may,mon,2.75,2.0,nonexistent
38.0,technician,single,university.degree,no,yes,telephone,may,mon,0.3333333333333333,1.0,nonexistent
31.0,admin.,divorced,high.school,no,no,telephone,may,mon,4.1,1.0,nonexistent
41.0,management,married,basic.6y,no,no,telephone,may,mon,8.816666666666666,2.0,nonexistent
39.0,admin.,married,university.degree,yes,yes,telephone,may,mon,3.2,1.0,nonexistent
